Type	Accession	Unique Name
Run	ERR2992501	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-49
Run	ERR2992502	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-50
Run	ERR2992503	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-51
Run	ERR2992504	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-52
Run	ERR2992505	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-53
Run	ERR2992506	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-54
Run	ERR2992507	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-55
Run	ERR2992508	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-56
Run	ERR2992509	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-57
Run	ERR2992510	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-58
Run	ERR2992511	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-59
Run	ERR2992512	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-60
Run	ERR2992513	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-61
Run	ERR2992514	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-62
Run	ERR2992515	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-63
Run	ERR2992516	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-64
Run	ERR2992517	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:525-65
Run	ERR2992518	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-66
Run	ERR2992519	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-67
Run	ERR2992520	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-68
Run	ERR2992521	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-69
Run	ERR2992522	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-70
Run	ERR2992523	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-71
Run	ERR2992524	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-72
Run	ERR2992525	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-73
Run	ERR2992526	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-74
Run	ERR2992527	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-75
